                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.0844,                0.54746,                 1.0042,                0.94142,                0.82418,                0.87702,                0.43587,                 1.7743,                 1.0253,                 1.2922,              0.0009506,              0.0009506,              0.0009506
                     56,                  1.046,                 0.5232,                 1.0105,                0.88125,                0.82418,                0.86395,                0.42218,                 1.8195,                 1.0047,                 1.3463,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0781,                0.51993,                0.99444,                0.91492,                0.82724,                0.86877,                0.43229,                 1.8231,                 1.0038,                 1.3663,               0.000911,               0.000911,               0.000911
                     58,                 1.1169,                0.54329,                 1.0171,                0.90535,                0.84615,                0.86575,                0.41588,                  1.858,                  1.014,                 1.3733,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0531,                0.52143,                 1.0117,                0.95091,                0.85148,                0.89865,                0.43218,                  1.835,                0.99579,                 1.3337,              0.0008714,              0.0008714,              0.0008714
                     60,                  1.053,                0.51278,                0.97421,                0.97271,                0.83516,                0.89799,                0.41873,                  1.894,                  1.016,                 1.3701,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0451,                0.53276,                 1.0029,                0.94891,                0.81651,                 0.8768,                0.40715,                 1.9229,                 1.0666,                 1.3918,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0951,                 0.5456,                0.98679,                0.90825,                0.82418,                0.84359,                   0.45,                 1.7716,                0.97951,                 1.3097,               0.000812,               0.000812,               0.000812
                     63,                 1.0126,                0.52455,                0.97958,                0.94371,                0.82418,                0.86026,                0.40853,                 1.8678,                 1.0016,                 1.3773,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.9986,                 0.4992,                0.96572,                0.93591,                0.82418,                0.87525,                0.42938,                 1.7697,                 0.9286,                 1.2909,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0098,                0.50502,                0.97513,                0.93858,                0.83967,                0.90531,                0.45278,                 1.7606,                0.91923,                 1.3006,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0543,                0.50778,                0.97168,                0.98324,                0.79121,                0.91178,                0.44019,                 1.7741,                0.96997,                 1.3016,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0434,                0.51708,                0.96634,                0.93619,                 0.8061,                0.89121,                0.45551,                 1.7628,                 1.0061,                 1.3015,               0.000713,               0.000713,               0.000713
                     68,                  1.002,                0.50333,                0.96651,                0.99697,                0.81319,                0.89453,                0.42608,                 1.8692,                0.99935,                 1.3346,              0.0006932,              0.0006932,              0.0006932
                     69,                0.97493,                0.48618,                0.94069,                0.98369,                 0.8022,                0.87161,                0.41526,                  1.909,                 1.0119,                 1.3611,              0.0006734,              0.0006734,              0.0006734
                     70,                0.98502,                0.48858,                0.94919,                0.97273,                0.78404,                0.86696,                0.43747,                  1.856,                 1.0259,                 1.3462,              0.0006536,              0.0006536,              0.0006536
                     71,                0.99698,                0.48716,                0.99026,                0.94205,                0.79121,                0.86512,                0.42684,                 1.9056,                 1.0749,                 1.3741,              0.0006338,              0.0006338,              0.0006338
                     72,                0.97072,                0.49416,                0.94008,                0.96824,                 0.8022,                0.88076,                0.42673,                 1.8879,                 1.0788,                 1.3652,               0.000614,               0.000614,               0.000614
                     73,                0.94769,                0.44923,                0.94644,                0.96031,                0.79766,                0.88518,                 0.4443,                 1.8133,                 1.0511,                 1.3322,              0.0005942,              0.0005942,              0.0005942
                     74,                0.92903,                0.44453,                0.92651,                0.96151,                0.82354,                 0.8751,                0.44579,                 1.7754,                0.96455,                 1.3227,              0.0005744,              0.0005744,              0.0005744
                     75,                0.89653,                0.43918,                0.94322,                0.95694,                0.82418,                0.86732,                0.42595,                  1.836,                0.95072,                 1.3649,              0.0005546,              0.0005546,              0.0005546
                     76,                0.94401,                0.46031,                 0.9589,                 0.9673,                0.83516,                0.87912,                0.44729,                 1.7715,                 0.9347,                 1.3425,              0.0005348,              0.0005348,              0.0005348
                     77,                0.90363,                0.44778,                0.91642,                0.97401,                0.82367,                0.88133,                0.44871,                 1.7628,                0.94553,                 1.3401,               0.000515,               0.000515,               0.000515
                     78,                0.93133,                0.45534,                0.92597,                0.95286,                0.81319,                 0.8756,                0.43225,                 1.7993,                 1.0122,                 1.3493,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.8171,                 0.4217,                0.90094,                0.96145,                0.82226,                0.88083,                0.43576,                 1.8178,                 0.9528,                 1.3784,              0.0004754,              0.0004754,              0.0004754
                     80,                0.82858,                 0.4157,                0.90655,                0.92337,                0.83516,                0.88279,                0.44961,                 1.7762,                 0.9041,                 1.3526,              0.0004556,              0.0004556,              0.0004556
                     81,                0.82024,                0.41778,                0.92051,                0.92132,                0.83516,                0.88254,                0.44416,                 1.7726,                0.87845,                 1.3496,              0.0004358,              0.0004358,              0.0004358
                     82,                0.89063,                0.45241,                0.92128,                0.95142,                0.82418,                0.87911,                0.43233,                 1.8341,                0.96776,                 1.3748,               0.000416,               0.000416,               0.000416
                     83,                0.79785,                0.41838,                0.90207,                0.92756,                0.84426,                0.88053,                0.43652,                 1.8232,                 1.0155,                 1.3528,              0.0003962,              0.0003962,              0.0003962
                     84,                0.80494,                0.41235,                0.89118,                0.94845,                0.80878,                0.85638,                0.43074,                 1.8213,                 1.0398,                 1.3405,              0.0003764,              0.0003764,              0.0003764
                     85,                 0.7898,                0.41259,                0.89973,                0.93734,                0.82202,                0.85959,                0.44018,                 1.8203,                 1.0466,                 1.3378,              0.0003566,              0.0003566,              0.0003566
                     86,                0.80625,                0.40755,                0.90473,                0.93584,                0.83516,                0.87234,                0.43698,                 1.8211,                  1.079,                  1.353,              0.0003368,              0.0003368,              0.0003368
                     87,                0.77096,                0.40227,                 0.8949,                0.97148,                0.82418,                0.88917,                0.43626,                 1.8533,                 1.0783,                 1.3619,               0.000317,               0.000317,               0.000317
                     88,                0.75116,                0.38945,                0.88129,                0.98697,                0.83263,                 0.8893,                0.43291,                 1.8467,                  1.068,                 1.3583,              0.0002972,              0.0002972,              0.0002972
                     89,                0.77808,                0.41397,                 0.8878,                0.96184,                0.83108,                0.87723,                0.42702,                 1.8438,                 1.0647,                 1.3591,              0.0002774,              0.0002774,              0.0002774
                     90,                0.75182,                0.39119,                0.89344,                0.94317,                0.83516,                0.88089,                0.42741,                 1.8421,                 1.0688,                 1.3684,              0.0002576,              0.0002576,              0.0002576
                     91,                0.77768,                0.41725,                 0.9032,                0.95497,                0.82418,                0.87589,                0.43636,                 1.8107,                 1.0342,                 1.3561,              0.0002378,              0.0002378,              0.0002378
                     92,                0.77614,                0.39718,                0.89435,                0.94951,                0.81319,                0.85698,                0.44111,                 1.8215,                 1.0213,                 1.3693,               0.000218,               0.000218,               0.000218
                     93,                 0.7586,                0.38629,                0.89716,                0.93442,                0.82418,                0.85911,                0.43779,                 1.8406,                 1.0249,                 1.3797,              0.0001982,              0.0001982,              0.0001982
                     94,                0.76124,                0.38828,                0.90048,                 0.9375,                0.82414,                0.85929,                0.43455,                 1.8471,                 1.0082,                 1.3859,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.7466,                0.36981,                0.88777,                0.94869,                0.81268,                0.86012,                0.44074,                 1.8134,                 1.0031,                 1.3798,              0.0001586,              0.0001586,              0.0001586
                     96,                0.74485,                0.36533,                 0.8998,                0.93799,                0.83122,                0.87404,                0.45044,                 1.8026,                 1.0084,                  1.381,              0.0001388,              0.0001388,              0.0001388
                     97,                0.70608,                0.36847,                0.87235,                0.93787,                0.82946,                0.87376,                0.44289,                 1.8113,                 1.0178,                 1.3877,               0.000119,               0.000119,               0.000119
                     98,                0.72254,                0.36852,                0.88877,                0.94214,                0.82418,                0.87428,                0.42933,                 1.8235,                 1.0071,                 1.3926,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.73259,                0.35582,                0.88628,                0.97355,                0.80897,                0.87506,                0.43243,                 1.8228,                  1.005,                 1.3889,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.7112,                0.36378,                0.86714,                0.96981,                0.82418,                0.87187,                0.43669,                  1.817,                0.99812,                 1.3808,               5.96e-05,               5.96e-05,               5.96e-05
